N,lr,sr,set_n,KL,entropy
400,0.85,1.0,3,0.4696215153808922,4.78296720550234
400,0.85,1.0,3,1.97152570865258,5.0085216229504805
400,0.85,1.0,3,1.1976384657836805,4.973216775254377
400,0.85,1.0,3,1.1461942967298047,4.8770478736700555
400,0.85,1.0,3,0.26276401588025167,4.779046819953345
400,0.85,1.0,3,0.24180983906532655,4.580710089152593
400,0.85,1.0,3,1.2819329201732286,4.941523229429638
400,0.85,1.0,3,1.2013802373651454,4.941252354863176
400,0.85,1.0,3,0.45565455458119775,4.731319230463506
400,0.85,1.0,3,0.3214767277983925,4.751140855059944
400,0.85,1.0,3,0.24575722613800782,4.62747307964152
400,0.85,1.0,3,0.15747737868453884,4.75566931666408
400,0.85,1.0,3,0.3277535084027092,4.752567720473366
400,0.85,1.0,3,0.4550947559531025,4.695981377039109
400,0.85,1.0,3,0.8352588891073034,4.886623658937754
400,0.85,1.0,3,1.2053950790477632,4.927332654439122
400,0.85,1.0,3,0.21774469377255384,4.700645380587624
400,0.85,1.0,3,0.725978028337174,4.817256568811515
400,0.85,1.0,3,1.7840235344718596,4.983915623913627
400,0.85,1.0,3,0.20002443437129044,4.6389666390053605
400,0.85,1.0,3,1.3021177376454416,4.917241214380685
400,0.85,1.0,3,0.10517444286320826,4.584808054389594
400,0.85,1.0,3,0.7768155518050208,4.843271385036584
400,0.85,1.0,3,0.3558277603579433,4.790503340319373
400,0.85,1.0,3,0.6017028551220277,4.727392784528675
400,0.85,1.0,3,0.41006411396540055,4.703051614785608
400,0.85,1.0,3,1.1593568690011977,4.882880784631014
400,0.85,1.0,3,1.1147583965423915,4.904810762381483
400,0.85,1.0,3,1.8500912328430668,4.959944323234342
400,0.85,1.0,3,0.7923236950195799,4.849458539091078
400,0.85,1.0,3,1.0298556856615946,4.893604930292518
400,0.85,1.0,3,0.2177347470273071,4.688914140447039
400,0.85,1.0,3,0.4666423882770964,4.819954127532526
400,0.85,1.0,3,0.5565430283227096,4.747019060411356
400,0.85,1.0,3,1.2548582306867242,4.9588706403076515
400,0.85,1.0,3,2.3083209094357784,5.047530245335929
400,0.85,1.0,3,0.3772062910864737,4.745536463687321
400,0.85,1.0,3,0.023009222303005658,4.653340887649625
400,0.85,1.0,3,1.3970462289038326,4.992375677154078
400,0.85,1.0,3,0.004815348750782678,4.591711327300678
400,0.85,1.0,3,0.15039687339599658,4.698170894707605
400,0.85,1.0,3,0.13159187803363112,4.6809670116908855
400,0.85,1.0,3,1.0917322532794143,4.888591067654207
400,0.85,1.0,3,0.2596457982201351,4.708254509173695
400,0.85,1.0,3,0.751012342079703,4.814580013111105
400,0.85,1.0,3,0.4256263014953455,4.762877500330181
400,0.85,1.0,3,0.9831695829391072,4.866620332649025
400,0.85,1.0,3,0.25909386123382533,4.75210232221872
400,0.85,1.0,3,0.5243607507917749,4.775703039065947
400,0.85,1.0,3,0.6416133232224663,4.831936049229313
400,0.85,1.0,3,0.20168665137619482,4.63787982405897
400,0.85,1.0,3,3.4285382590963422,5.090321023105574
400,0.85,1.0,3,1.0741785254240586,4.8930857022859255
400,0.85,1.0,3,0.5725409367441157,4.805789250553709
400,0.85,1.0,3,3.9328716404472495,5.116808613584862
400,0.85,1.0,3,0.8857193920315812,4.903717790952249
400,0.85,1.0,3,0.883000162671653,4.870924334081719
400,0.85,1.0,3,0.8726242706452378,4.888648974252517
400,0.85,1.0,3,0.2828951709483488,4.685552458787276
400,0.85,1.0,3,0.581093872551445,4.763623629153535
400,0.85,1.0,3,1.7506972463989081,4.911606650652287
400,0.85,1.0,3,1.7080151868547453,4.954381578163979
400,0.85,1.0,3,0.40220071091159304,4.738517306641455
400,0.85,1.0,3,0.78301618554528,4.951760877957986
400,0.85,1.0,3,1.8077379773094515,5.042950242941586
400,0.85,1.0,3,0.5575270681060457,4.739367773419393
400,0.85,1.0,3,2.0639727732624156,5.053734068255933
400,0.85,1.0,3,0.7319014183431962,4.880408063060649
400,0.85,1.0,3,0.9353472152260879,4.866486667479334
400,0.85,1.0,3,0.3536614019340117,4.795491999013004
400,0.85,1.0,3,3.2630675328611822,5.143104645323516
400,0.85,1.0,3,0.1503304902637308,4.70502036164482
400,0.85,1.0,3,1.4075413290798293,4.934533859623762
400,0.85,1.0,3,2.1368139616001285,4.95496275615691
400,0.85,1.0,3,1.358862574390589,4.902142775823625
400,0.85,1.0,3,2.2327742611952637,5.021913383195182
400,0.85,1.0,3,1.0773605605490884,4.860716810993564
400,0.85,1.0,3,0.08665062273726165,4.651089094890409
400,0.85,1.0,3,0.7766337256517006,4.766228267757908
400,0.85,1.0,3,0.885861793704668,4.933095933116466
400,0.85,1.0,3,0.3112560447771084,4.774122373430351
400,0.85,1.0,3,0.17864313696145556,4.60950982236759
400,0.85,1.0,3,0.33798302874760616,4.630278666760365
400,0.85,1.0,3,0.2556094350393958,4.745084048922305
400,0.85,1.0,3,1.9246731421511074,4.9958070063100815
400,0.85,1.0,3,0.7826276628252048,4.857078793219147
400,0.85,1.0,3,1.2520061699601166,4.823443587398615
400,0.85,1.0,3,1.1241867587827887,4.942450856240681
400,0.85,1.0,3,1.5545754350796883,5.038881148574634
400,0.85,1.0,3,1.6592631695516413,4.977623533902471
400,0.85,1.0,3,2.704460916704659,5.099022716812127
400,0.85,1.0,3,0.22783867091954674,4.724748917647286
400,0.85,1.0,3,0.234440884947139,4.744098643791332
400,0.85,1.0,3,0.47353910706795177,4.775991247885816
400,0.85,1.0,3,1.1487983466894556,4.9053036517145525
400,0.85,1.0,3,0.9744883066153696,4.886436561331372
400,0.85,1.0,3,0.9904797845142599,4.850149577459167
400,0.85,1.0,3,0.4997068549635519,4.861260705863318
400,0.85,1.1,4,2.08691748397773,5.032091425087321
400,0.85,1.1,4,1.4543872076126885,4.879536083924229
400,0.85,1.1,4,1.171381465801825,4.936461660146833
400,0.85,1.1,4,2.4449279680348575,4.98929590269537
400,0.85,1.1,4,0.6429646241435184,4.818340614155829
400,0.85,1.1,4,0.41358995181666297,4.770171659827103
400,0.85,1.1,4,2.829476167747484,5.104177787440626
400,0.85,1.1,4,2.6390385460373587,5.072267674489356
400,0.85,1.1,4,0.6373321612032208,4.8161010860899935
400,0.85,1.1,4,0.5191430580217002,4.747316925884213
400,0.85,1.1,4,0.089498056229423,4.742874069588346
400,0.85,1.1,4,3.1858355788087813,5.123260937183542
400,0.85,1.1,4,0.6511085074938108,4.819469064438515
400,0.85,1.1,4,0.46016531964591323,4.782817749018989
400,0.85,1.1,4,1.4767142940168654,4.996309291226696
400,0.85,1.1,4,0.9515779507287381,4.853584690032479
400,0.85,1.1,4,0.5236778903687913,4.795293141680299
400,0.85,1.1,4,2.291800846071749,5.038714848361366
400,0.85,1.1,4,0.33009936856157596,4.709104384169385
400,0.85,1.1,4,2.559138221863362,5.092960374467892
400,0.85,1.1,4,0.31547184474448586,4.718684976355709
400,0.85,1.1,4,0.8752688718718382,4.946455703674923
400,0.85,1.1,4,0.46991737267327144,4.861785404371605
400,0.85,1.1,4,2.042358969738046,5.03451016592013
400,0.85,1.1,4,0.7839373924868908,4.83612534593028
400,0.85,1.1,4,0.6423856827158178,4.8702814389690054
400,0.85,1.1,4,0.9631219322662418,4.901008956214316
400,0.85,1.1,4,3.208167040286003,5.094255950333249
400,0.85,1.1,4,1.0251720464647232,4.91341163399912
400,0.85,1.1,4,1.5652052350383332,4.961788546258318
400,0.85,1.1,4,0.5516542016383946,4.798373801504843
400,0.85,1.1,4,0.37363427969639446,4.7689306503232824
400,0.85,1.1,4,1.8962629610150217,5.021206341929429
400,0.85,1.1,4,0.737914951205904,4.822392081116485
400,0.85,1.1,4,0.11999639614351972,4.650016012782509
400,0.85,1.1,4,0.9865219108212695,4.892835639267279
400,0.85,1.1,4,2.298274181052628,4.990295399430288
400,0.85,1.1,4,1.3060616160313008,4.865403571582805
400,0.85,1.1,4,1.0241807507779441,4.881788756419526
400,0.85,1.1,4,0.5983106971662135,4.828924726977532
400,0.85,1.1,4,0.12233250851122063,4.664433840171437
400,0.85,1.1,4,2.552973043325273,5.071159994381514
400,0.85,1.1,4,1.3330033299903667,4.972193931486086
400,0.85,1.1,4,1.1568143610998556,4.938827358686272
400,0.85,1.1,4,1.7398435254208025,4.9651079007118035
400,0.85,1.1,4,1.1044022529311288,4.921293585711602
400,0.85,1.1,4,1.6829852066948765,4.965156385357003
400,0.85,1.1,4,0.15231149520434842,4.689758968212351
400,0.85,1.1,4,1.0479322956777282,4.9144071312390825
400,0.85,1.1,4,0.46086406447198613,4.852274310859045
400,0.85,1.1,4,1.342881014303153,4.952441836954655
400,0.85,1.1,4,1.956587437674541,4.9638231146833816
400,0.85,1.1,4,2.1176391879475385,4.960779402712521
400,0.85,1.1,4,1.2601401873400064,4.961441550894898
400,0.85,1.1,4,1.2650717924489454,4.918335182230552
400,0.85,1.1,4,0.016929405251426635,4.560408702100487
400,0.85,1.1,4,0.02926444512235313,4.618276032474914
400,0.85,1.1,4,2.1627607804642768,5.006224035579878
400,0.85,1.1,4,0.19394392244204536,4.6937043369524645
400,0.85,1.1,4,1.390842412353651,4.952593247664865
400,0.85,1.1,4,0.5648778273388215,4.8146129351985465
400,0.85,1.1,4,0.3089676640546914,4.7146895200561945
400,0.85,1.1,4,0.1735012406492717,4.692055379558467
400,0.85,1.1,4,0.8039903557656604,4.845279037241398
400,0.85,1.1,4,2.4572122729187797,5.098889751505791
400,0.85,1.1,4,1.0206456954084062,4.926916819492947
400,0.85,1.1,4,0.7806452730660753,4.813515775307925
400,0.85,1.1,4,0.11433653185453915,4.6962815414375445
400,0.85,1.1,4,0.7423461813697501,4.888670659568133
400,0.85,1.1,4,0.48464201901636383,4.795931920053354
400,0.85,1.1,4,0.17411566621608798,4.698426552421201
400,0.85,1.1,4,0.9200194694603938,4.943410034570201
400,0.85,1.1,4,0.81785353949882,4.804130354262376
400,0.85,1.1,4,0.4247085651726668,4.829302810517241
400,0.85,1.1,4,1.675459306136392,5.048825038817631
400,0.85,1.1,4,1.1126356059138436,4.922211858442161
400,0.85,1.1,4,0.1663801833562556,4.73952427890058
400,0.85,1.1,4,1.221356470857188,4.882530336484692
400,0.85,1.1,4,0.7746733538819177,4.90087325734468
400,0.85,1.1,4,0.6286230401155675,4.82265504515707
400,0.85,1.1,4,0.24955990367291458,4.665640646098473
400,0.85,1.1,4,1.143357694689357,4.942574252254371
400,0.85,1.1,4,0.6336046926920182,4.775854333615628
400,0.85,1.1,4,0.678483289404503,4.810377092155717
400,0.85,1.1,4,1.668660515413086,4.999533704402921
400,0.85,1.1,4,0.4336809613999968,4.765677190014323
400,0.85,1.1,4,0.955562247147601,4.931164939836178
400,0.85,1.1,4,1.7930338022856778,5.003126851443123
400,0.85,1.1,4,0.38112311940685856,4.761833240327835
400,0.85,1.1,4,1.0677229967229125,4.974761181805247
400,0.85,1.1,4,1.0015014695544846,4.950203694713572
400,0.85,1.1,4,2.8408784901100055,5.115699181878263
400,0.85,1.1,4,0.2344869228648171,4.82603335512575
400,0.85,1.1,4,0.8587592849868757,4.7863892631058915
400,0.85,1.1,4,0.30178842709583187,4.727910430158413
400,0.85,1.1,4,0.3250751431099181,4.728171563506248
400,0.85,1.1,4,0.6526696418912381,4.854123821300798
400,0.85,1.1,4,0.5133115218223883,4.835515397370658
400,0.85,1.1,4,0.7415325131837794,4.7851603948036585
400,0.85,1.1,4,0.39806045785685773,4.691346311057123
400,0.85,1.2,5,0.9177775821234305,4.868396422426526
400,0.85,1.2,5,0.4328208611095875,4.737221015379191
400,0.85,1.2,5,0.3483582546755461,4.717276821038099
400,0.85,1.2,5,0.2483705856947821,4.697874120522828
400,0.85,1.2,5,1.0172719815883537,4.932231020325368
400,0.85,1.2,5,0.38971936517651484,4.763821029110756
400,0.85,1.2,5,1.1482260271934013,4.968715854471041
400,0.85,1.2,5,3.250690883773647,5.1405640808273
400,0.85,1.2,5,0.9261458421565292,4.877889170651045
400,0.85,1.2,5,0.8214311717148752,4.836955049859855
400,0.85,1.2,5,0.69718885756208,4.870614401326805
400,0.85,1.2,5,0.662174052437098,4.829702759600566
400,0.85,1.2,5,0.6789128766479872,4.831797860370838
400,0.85,1.2,5,0.043458098336784684,4.564204094945339
400,0.85,1.2,5,0.4263726822226356,4.770737889378951
400,0.85,1.2,5,1.3087100445410047,4.955904229718268
400,0.85,1.2,5,0.5130060336423646,4.8194841569015425
400,0.85,1.2,5,0.8255232586659117,4.801501550540724
400,0.85,1.2,5,0.5430427437308781,4.731662971332182
400,0.85,1.2,5,1.2627489398414018,4.937162066477005
400,0.85,1.2,5,0.2906159736271938,4.722055146677377
400,0.85,1.2,5,0.6140360326965951,4.777315003859908
400,0.85,1.2,5,0.27896685522437514,4.671406147735696
400,0.85,1.2,5,2.7737112082015267,5.126063517187442
400,0.85,1.2,5,2.0563411552350623,5.050003811757696
400,0.85,1.2,5,1.1286672663573034,4.955218284154553
400,0.85,1.2,5,2.0588524931420498,5.026363093988596
