N,lr,sr,set_n,KL,entropy
400,0.9400000000000001,1.2,20,0.7009048008789093,4.800318431899513
400,0.9400000000000001,1.2,20,0.03673778572732277,4.634975590249341
400,0.9400000000000001,1.2,20,1.109087174246616,4.909813679902556
400,0.9400000000000001,1.2,20,1.3850518098214852,5.000318624809575
400,0.9400000000000001,1.2,20,1.974455051428996,5.001248162919707
400,0.9400000000000001,1.2,20,1.6326912839524348,5.018524597233599
400,0.9700000000000001,0.8,21,0.028044953218941238,4.610067521656659
400,0.9700000000000001,0.8,21,0.0021783379322440725,4.571138927936879
400,0.9700000000000001,0.8,21,0.034750788949746196,4.5337137345141
400,0.9700000000000001,0.8,21,0.005406197998863906,4.559852782927496
400,0.9700000000000001,0.8,21,0.8183856671184748,4.893725393011395
400,0.9700000000000001,0.8,21,0.12442229684810438,4.63263883237642
400,0.9700000000000001,0.8,21,0.001996111296964427,4.5070477207052715
400,0.9700000000000001,0.8,21,0.0020507507430802697,4.636807706356166
400,0.9700000000000001,0.8,21,0.6549638766169779,4.842156992358336
400,0.9700000000000001,0.8,21,0.015752745069785225,4.513990987581538
400,0.9700000000000001,0.9,22,0.0014630553386818877,4.56972586821274
400,0.9700000000000001,0.9,22,0.01586878907839361,4.629527190456354
400,0.9700000000000001,0.9,22,0.002135654817811504,4.639071833449813
400,0.9700000000000001,0.9,22,0.004626905012749073,4.5510053963827515
400,0.9700000000000001,0.9,22,0.3107460186227896,4.803837445899613
400,0.9700000000000001,0.9,22,0.04157888222444881,4.695940610918004
400,0.9700000000000001,0.9,22,0.06284707273623322,4.681444443980862
400,0.9700000000000001,0.9,22,0.035570340456900724,4.675572304755844
400,0.9700000000000001,0.9,22,0.04163244597556113,4.590472417106222
400,0.9700000000000001,0.9,22,0.11786260844549183,4.670491069499705
400,0.9700000000000001,1.0,23,0.7138566125054593,4.868064843483839
400,0.9700000000000001,1.0,23,0.00260479956513714,4.606734362517571
400,0.9700000000000001,1.0,23,0.009329064041805262,4.568914334429122
400,0.9700000000000001,1.0,23,0.02742224284533539,4.612091505906237
400,0.9700000000000001,1.0,23,0.5832757198844976,4.820860075023766
400,0.9700000000000001,1.0,23,0.7212549186681234,4.8567292961203306
400,0.9700000000000001,1.0,23,0.00865375762875326,4.554723785539799
400,0.9700000000000001,1.0,23,0.0022126059454909454,4.578819673753863
400,0.9700000000000001,1.0,23,0.35698394072339695,4.766730549029676
400,0.9700000000000001,1.0,23,0.11225398699043543,4.7026595164528615
400,0.9700000000000001,1.1,24,0.013402236012659632,4.4101904848653914
400,0.9700000000000001,1.1,24,0.18679217583941785,4.753669643449334
400,0.9700000000000001,1.1,24,0.517950649358679,4.754681426815942
400,0.9700000000000001,1.1,24,0.0026000870579742583,4.677813051113802
400,0.9700000000000001,1.1,24,0.0660281685234137,4.683280901452172
400,0.9700000000000001,1.1,24,0.0012753520463520338,4.576528422315454
400,0.9700000000000001,1.1,24,0.005160807769905748,4.565873992222725
400,0.9700000000000001,1.1,24,0.7906695390475293,4.894655802046886
400,0.9700000000000001,1.1,24,0.01770976736276363,4.597958589749803
400,0.9700000000000001,1.1,24,0.004764618560309113,4.612870217521241
400,0.9700000000000001,1.2,25,0.25496810379879065,4.751616443315903
400,0.9700000000000001,1.2,25,0.02761085341758142,4.5473251123794665
400,0.9700000000000001,1.2,25,0.0020806851644999368,4.604354245873688
400,0.9700000000000001,1.2,25,0.008692178191364494,4.557617898098804
400,0.9700000000000001,1.2,25,0.1794544332109259,4.669938696394676
400,0.9700000000000001,1.2,25,0.04855011830011367,4.684561755135419
400,0.9700000000000001,1.2,25,0.4396913406389402,4.817850934690185
400,0.9700000000000001,1.2,25,0.07827739205882048,4.678554376234061
400,0.9700000000000001,1.2,25,0.23725652811413428,4.675134166956834
400,0.9700000000000001,1.2,25,0.06041324872711371,4.601387036896037
400,1.0,0.8,26,0.033018734998016025,4.480350016272704
400,1.0,0.8,26,0.011610180084874626,4.519188228716143
400,1.0,0.8,26,0.004790877396932331,4.541357653185371
400,1.0,0.8,26,0.0022439005675932034,4.6131538512113295
400,1.0,0.8,26,0.011118433293236942,4.584113400629321
400,1.0,0.8,26,0.03101360529840019,4.617480563513369
400,1.0,0.8,26,0.006994652944217521,4.491576619049047
400,1.0,0.8,26,0.04429126355529435,4.447661703544274
400,1.0,0.8,26,0.06298920249124333,4.60636937528764
400,1.0,0.8,26,0.010645708676321811,4.643575685587061
400,1.0,0.9,27,0.034653113140773885,4.542731916193869
400,1.0,0.9,27,0.020697815523202642,4.539265992713696
400,1.0,0.9,27,1.3446451591875757,4.967037175366615
400,1.0,0.9,27,0.42090655848914077,4.88053918566981
400,1.0,0.9,27,0.03563967152575409,4.491886282772125
400,1.0,0.9,27,0.006977926891866028,4.563569225576619
400,1.0,0.9,27,0.008481514845398101,4.5144407177542485
400,1.0,0.9,27,0.021315190784461868,4.698011244089638
400,1.0,0.9,27,1.081499568104901,4.906106911915355
400,1.0,0.9,27,0.004457979298880189,4.562220101281547
400,1.0,1.0,28,0.04966875849452467,4.713215962255127
400,1.0,1.0,28,0.032703450515995304,4.516836280628315
400,1.0,1.0,28,0.8378014747974902,4.9761274944265566
400,1.0,1.0,28,0.04692487179770362,4.57229182054086
400,1.0,1.0,28,0.0297004690125105,4.599074827368339
400,1.0,1.0,28,0.299605007743905,4.757303163483339
400,1.0,1.0,28,0.09387578932828966,4.710389222685928
400,1.0,1.0,28,0.06696190578342362,4.722418661581725
400,1.0,1.0,28,0.0017052593034392743,4.646315770178704
400,1.0,1.0,28,0.017458435990335357,4.508940783002831
400,1.0,1.1,29,0.03961743448507887,4.493514290863143
400,1.0,1.1,29,0.012567946557286627,4.645216290676263
400,1.0,1.1,29,0.3614256768418429,4.800500130945637
400,1.0,1.1,29,0.012397663376313815,4.56773004366301
400,1.0,1.1,29,0.10372745709754237,4.479188993133063
400,1.0,1.1,29,0.04077688775535225,4.450187110566418
400,1.0,1.1,29,0.7327555275398008,4.824698008061122
